"ID","MONTHS_BALANCE","STATUS","CODE_GENDER","FLAG_OWN_CAR","FLAG_OWN_REALTY","CNT_CHILDREN","AMT_INCOME_TOTAL","NAME_INCOME_TYPE","NAME_EDUCATION_TYPE","NAME_FAMILY_STATUS","NAME_HOUSING_TYPE","DAYS_BIRTH","DAYS_EMPLOYED","FLAG_MOBIL","FLAG_WORK_PHONE","FLAG_PHONE","FLAG_EMAIL","OCCUPATION_TYPE","CNT_FAM_MEMBERS"
5008806,-28,"0","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-19,"X","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-29,"X","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-21,"X","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-23,"X","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-20,"0","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-9,"0","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-22,"X","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,0,"C","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-13,"0","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-14,"X","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-15,"X","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-16,"X","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-17,"X","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-18,"X","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-5,"C","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-6,"C","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-7,"X","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-8,"0","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-27,"X","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-24,"0","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-25,"X","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-26,"X","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-4,"C","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-1,"C","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-2,"C","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-3,"C","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-12,"X","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-10,"X","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008806,-11,"0","M","Y","Y",0,112500,"Working","Secondary / secondary special","Married","House / apartment",-21474,-1134,1,0,0,0,"Security staff",2
5008808,-3,"X","F","N","Y",0,270000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-19110,-3051,1,0,1,1,"Sales staff",1
5008808,-1,"X","F","N","Y",0,270000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-19110,-3051,1,0,1,1,"Sales staff",1
5008808,-2,"0","F","N","Y",0,270000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-19110,-3051,1,0,1,1,"Sales staff",1
5008808,-4,"X","F","N","Y",0,270000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-19110,-3051,1,0,1,1,"Sales staff",1
5008808,0,"0","F","N","Y",0,270000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-19110,-3051,1,0,1,1,"Sales staff",1
5008809,-25,"X","F","N","Y",0,270000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-19110,-3051,1,0,1,1,"Sales staff",1
5008809,-24,"X","F","N","Y",0,270000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-19110,-3051,1,0,1,1,"Sales staff",1
5008809,-22,"X","F","N","Y",0,270000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-19110,-3051,1,0,1,1,"Sales staff",1
5008809,-23,"X","F","N","Y",0,270000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-19110,-3051,1,0,1,1,"Sales staff",1
5008809,-26,"X","F","N","Y",0,270000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-19110,-3051,1,0,1,1,"Sales staff",1
5008810,-14,"C","F","N","Y",0,270000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-19110,-3051,1,0,1,1,"Sales staff",1
5008810,-19,"X","F","N","Y",0,270000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-19110,-3051,1,0,1,1,"Sales staff",1
5008810,-20,"0","F","N","Y",0,270000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-19110,-3051,1,0,1,1,"Sales staff",1
5008810,-21,"0","F","N","Y",0,270000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-19110,-3051,1,0,1,1,"Sales staff",1
5008810,0,"C","F","N","Y",0,270000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-19110,-3051,1,0,1,1,"Sales staff",1
5008810,-23,"X","F","N","Y",0,270000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-19110,-3051,1,0,1,1,"Sales staff",1
5008810,-9,"C","F","N","Y",0,270000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-19110,-3051,1,0,1,1,"Sales staff",1
5008810,-24,"0","F","N","Y",0,270000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-19110,-3051,1,0,1,1,"Sales staff",1
5008810,-22,"0","F","N","Y",0,270000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-19110,-3051,1,0,1,1,"Sales staff",1
5008810,-13,"C","F","N","Y",0,270000,"Commercial associate","Secondary / secondary special","Single / not married","House / apartment",-19110,-3051,1,0,1,1,"Sales staff",1
